,reaction,starting electrophile SMILES,input electrophile SMILES,nucleophile SMILES,"3,3 Catalyst Substituent ",N Catalyst Substituent,solvent,Temperature (Celsius),Temperature (Kelvin),yield (%),ee (%),e.r. 1,e.r. 2,ddG,reference ,Link,Unnamed: 0,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name
10,1k,CCCCCCCCCC=O,CCCCCCCCCC=O,C=CC[Si](C)(C)C,Cc1cc(C)c2ccc4cccc3ccc1c2c34,NS(=O)(=O)C(F)(F)F,DCM,-78,195.15,87.0,91,95.5,4.5,1.18403886746725,"Angew. Chem. Int. Ed. 2016, 55, 13200–13213",,ph_pyrene_me_1_1_m062x,11.18,1.97,4.49,484.312,0.005,280.844,-0.01,-7.261,146.24,303.8,-0.2336,-0.04537,13.7616345106248,13.569053,6.77811,2.54398,7.94742740976863,Cc1cc(C)c2ccc4cccc3ccc1c2c34
11,1l,CCCCC=O,CCCCC=O,C=CC[Si](C)(C)C,Cc1cc(C)c2ccc4cccc3ccc1c2c34,NS(=O)(=O)C(F)(F)F,DCM,-78,195.15,70.0,91,95.5,4.5,1.18403886746725,"Angew. Chem. Int. Ed. 2016, 55, 13200–13214",,ph_pyrene_me_1_1_m062x,11.18,1.97,4.49,484.312,0.005,280.844,-0.01,-7.261,146.24,303.8,-0.2336,-0.04537,13.7616345106248,13.569053,6.77811,2.54398,7.94742740976863,Cc1cc(C)c2ccc4cccc3ccc1c2c34
12,1m,O=CCCc1ccccc1,O=CCCc1ccccc1,C=CC[Si](C)(C)C,Cc1cc(C)c2ccc4cccc3ccc1c2c34,NS(=O)(=O)C(F)(F)F,DCM,-78,195.15,89.0,96,98.0,2.0,1.50834462011611,"Angew. Chem. Int. Ed. 2016, 55, 13200–13215",,ph_pyrene_me_1_1_m062x,11.18,1.97,4.49,484.312,0.005,280.844,-0.01,-7.261,146.24,303.8,-0.2336,-0.04537,13.7616345106248,13.569053,6.77811,2.54398,7.94742740976863,Cc1cc(C)c2ccc4cccc3ccc1c2c34
13,1n,CC(C)CC=O,CC(C)CC=O,C=CC[Si](C)(C)C,Cc1cc(C)c2ccc4cccc3ccc1c2c34,NS(=O)(=O)C(F)(F)F,DCM,-78,195.15,73.0,92,96.0,4.0,1.23171164911491,"Angew. Chem. Int. Ed. 2016, 55, 13200–13216",,ph_pyrene_me_1_1_m062x,11.18,1.97,4.49,484.312,0.005,280.844,-0.01,-7.261,146.24,303.8,-0.2336,-0.04537,13.7616345106248,13.569053,6.77811,2.54398,7.94742740976863,Cc1cc(C)c2ccc4cccc3ccc1c2c34
14,3 (rxn development),CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,c1ccccc1,NS(=O)(=O)C(F)(F)F,DCM,25,298.15,,19,59.5,40.5,0.227775638855151,"J. Am. Chem. Soc. 2017, 139, 2156−2159",https://pubs.acs.org/doi/pdf/10.1021/jacs.6b11993,phenyl_idp_1_1_m062x,6.85,1.7,3.23,195.699,0.0,130.546,0.0,0.0,78.673,134.97,-0.27988,-0.00575,9.24379800000005,9.243798,4.025508,1.478844,8.30449535728804,c1ccccc1
15,4,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,25,298.15,,23,61.5,38.5,0.27733929755082,"J. Am. Chem. Soc. 2017, 139, 2156−2160",,phenyl_idp_1_1_m062x,6.85,1.7,3.23,195.699,0.0,130.546,0.0,0.0,78.673,134.97,-0.27988,-0.00575,9.24379800000005,9.243798,4.025508,1.478844,8.30449535728804,c1ccccc1
16,5,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,20,60.0,40.0,0.203849975345517,"J. Am. Chem. Soc. 2017, 139, 2156−2161",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2
17,6,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,Cc1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,68,84.0,16.0,0.833683949058078,"J. Am. Chem. Soc. 2017, 139, 2156−2162",,ph_4me_2_1_m062x,7.91,1.71,3.23,224.093,0.187,139.133,-0.444,-0.203,87.739,150.32,-0.27296,-0.00208,10.1422232858064,10.092066,4.035209,1.730127,8.86213291218795,Cc1ccccc1
18,7,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,88,94.0,6.0,1.38335061269019,"J. Am. Chem. Soc. 2017, 139, 2156−2163",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
19,8,O=C(OC1CCCO1)c2ccccc2,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,86,93.0,7.0,1.30047332921237,"J. Am. Chem. Soc. 2017, 139, 2156−2164",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
20,9 (HCl will be generated),ClC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-20,253.15,,74,87.0,13.0,0.955718232846495,"J. Am. Chem. Soc. 2017, 139, 2156−2165",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
21,12,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,88.0,96,98.0,2.0,1.50834462011611,"J. Am. Chem. Soc. 2017, 139, 2156−2166",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
22,2 (substrate scope),CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,94.0,94,97.0,3.0,1.34722426941221,"J. Am. Chem. Soc. 2017, 139, 2156−2167",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
23,3,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(OC1CCCCC1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,95.0,92,96.0,4.0,1.23171164911491,"J. Am. Chem. Soc. 2017, 139, 2156−2168",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
24,4,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(O[Si](C)(C)C(C)(C)C)c1ccccc1,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,97.0,79,89.5,10.5,0.830505055568161,"J. Am. Chem. Soc. 2017, 139, 2156−2169",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
25,5,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C(/C=C/c1ccccc1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,74.0,90,95.0,5.0,1.14117003183368,"J. Am. Chem. Soc. 2017, 139, 2156−2170",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
26,6,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C/C=C(OC(C)C)\O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,70.0,93,96.5,3.5,1.28547747480641,"J. Am. Chem. Soc. 2017, 139, 2156−2171",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
27,7,CC(=O)OC1CCCO1,C1CC=[O+]C1,C=C1C=C(O[Si](C)(C)C)OC(C)(C)O1,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,90.0,93,96.5,3.5,1.28547747480641,"J. Am. Chem. Soc. 2017, 139, 2156−2172",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
28,8,CC(=O)OC1CCCCO1,C1CC[O+]=CC1,C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,80.0,93,96.5,3.5,1.28547747480641,"J. Am. Chem. Soc. 2017, 139, 2156−2173",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
29,9,CC(=O)OC1CCCCCO1,C1CCC=[O+]CC1,C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,91.0,94,97.0,3.0,1.34722426941221,"J. Am. Chem. Soc. 2017, 139, 2156−2174",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
30,10,CC(=O)OC2Cc1ccccc1O2,C1C=[O+]c2ccccc12,C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,43.0,97,98.5,1.5,1.62181331678586,"J. Am. Chem. Soc. 2017, 139, 2156−2175",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
31,11,CC(=O)OC2CCc1ccccc1O2,C1Cc2ccccc2[O+]=C1,C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,96.0,89,94.5,5.5,1.10218564765954,"J. Am. Chem. Soc. 2017, 139, 2156−2176",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
32,12,CC(=O)OC2OCCc1ccccc12,C1Cc2ccccc2C=[O+]1,C=C(OC)O[Si](C)(C)C(C)(C)C,CC(C)(C)c1ccccc1,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,73.0,34,67.0,33.0,0.274469795711171,"J. Am. Chem. Soc. 2017, 139, 2156−2177",,ph4tbu_idp_1_1_m062x,9.04,2.81,3.31,273.895,-0.275,169.051,0.008,1.277,121.196,188.05,-0.2733,-0.00301,11.5007243963751,11.42182,4.245001,4.06217,11.0168045649678,CC(C)(C)c1ccccc1
33,5 (rxn development),CC/C=C(C)/C(=O)/C=C/C(C)C,CC/C=C(C)/C(=O)/C=C/C(C)C,CC/C=C(C)/C(=O)/C=C/C(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)F,toluene,25,298.15,,62,81.0,19.0,0.858588580180647,"J. Am. Chem. Soc. 2019, 141, 3414−3418",https://pubs.acs.org/doi/pdf/10.1021/jacs.8b13899,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
34,6,CC/C=C(C)/C(=O)/C=C/C(C)C,CC/C=C(C)/C(=O)/C=C/C(C)C,CC/C=C(C)/C(=O)/C=C/C(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,25,298.15,,72,86.0,14.0,1.07488020525664,"J. Am. Chem. Soc. 2019, 141, 3414−3419",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
35,2a (rxn scope),CC/C=C(C)/C(=O)/C=C/C(C)C,CC/C=C(C)/C(=O)/C=C/C(C)C,CC/C=C(C)/C(=O)/C=C/C(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,72.0,94,97.0,3.0,1.74762912529695,"J. Am. Chem. Soc. 2019, 141, 3414−3419",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
36,2b (rxn scope),CC/C=C(C)/C(=O)/C=C/CCC,CC/C=C(C)/C(=O)/C=C/CCC,CC/C=C(C)/C(=O)/C=C/CCC,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,62.0,86,93.0,7.0,1.30047332921237,"J. Am. Chem. Soc. 2019, 141, 3414−3420",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
37,2c,CC/C=C(C)/C(=O)/C=C/CC(C)C,CC/C=C(C)/C(=O)/C=C/CC(C)C,CC/C=C(C)/C(=O)/C=C/CC(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,67.0,86,93.0,7.0,1.30047332921237,"J. Am. Chem. Soc. 2019, 141, 3414−3421",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
38,2d,CC/C=C(C)/C(=O)/C=C/C(CC)CC,CC/C=C(C)/C(=O)/C=C/C(CC)CC,CC/C=C(C)/C(=O)/C=C/C(CC)CC,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,77.0,90,95.0,5.0,1.4803340689659,"J. Am. Chem. Soc. 2019, 141, 3414−3422",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
39,2e,CC/C=C(C)/C(=O)/C=C/C1CC1,CC/C=C(C)/C(=O)/C=C/C1CC1,CC/C=C(C)/C(=O)/C=C/C1CC1,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,51.0,84,92.0,8.0,1.22790438187938,"J. Am. Chem. Soc. 2019, 141, 3414−3423",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
40,2f,CC/C=C(C)/C(=O)/C=C/C1CCC1,CC/C=C(C)/C(=O)/C=C/C1CCC1,CC/C=C(C)/C(=O)/C=C/C1CCC1,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,64.0,92,96.0,4.0,1.59778531372503,"J. Am. Chem. Soc. 2019, 141, 3414−3425",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
41,2g,CC/C=C(C)/C(=O)/C=C/C1CCCC1,CC/C=C(C)/C(=O)/C=C/C1CCCC1,CC/C=C(C)/C(=O)/C=C/C1CCCC1,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,78.0,92,96.0,4.0,1.59778531372503,"J. Am. Chem. Soc. 2019, 141, 3414−3426",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
42,2h,CC/C=C(C)/C(=O)/C=C/C1CCCCC1,CC/C=C(C)/C(=O)/C=C/C1CCCCC1,CC/C=C(C)/C(=O)/C=C/C1CCCCC1,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,85.0,92,96.0,4.0,1.59778531372503,"J. Am. Chem. Soc. 2019, 141, 3414−3427",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
43,2i,CCCCC/C=C(C)/C(=O)/C=C/C(C)C,CCCCC/C=C(C)/C(=O)/C=C/C(C)C,CCCCC/C=C(C)/C(=O)/C=C/C(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,72.0,88,94.0,6.0,1.38335061269019,"J. Am. Chem. Soc. 2019, 141, 3414−3428",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
44,2j,C/C(=C\CCCCCl)C(=O)/C=C/C(C)C,C/C(=C\CCCCCl)C(=O)/C=C/C(C)C,C/C(=C\CCCCCl)C(=O)/C=C/C(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,73.0,88,94.0,6.0,1.38335061269019,"J. Am. Chem. Soc. 2019, 141, 3414−3429",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
45,2k,C/C(=C\CCc1ccccc1)C(=O)/C=C/C(C)C,C/C(=C\CCc1ccccc1)C(=O)/C=C/C(C)C,C/C(=C\CCc1ccccc1)C(=O)/C=C/C(C)C,c4ccc3c1ccccc1c2ccccc2c3c4,NS(=O)(=O)C(F)(F)C(F)(F)F,toluene,-20,253.15,72.0,86,93.0,7.0,1.30047332921237,"J. Am. Chem. Soc. 2019, 141, 3414−3430",,ph_2triphenylene_2_1_m062x,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
